Cluster,Feature,Cluster_Presence,Global_Presence,Diff_From_Global
1,accordion,1.0,0.417,0.583
1,avatar,0.5,0.833,-0.333
1,call_on_menu,0.0,0.333,-0.333
1,carousel_chat_message,0.5,0.25,0.25
1,conversation_recovery,0.0,0.083,-0.083
1,dialog_reload,0.0,0.083,-0.083
1,emoji_chat_message,1.0,0.75,0.25
1,extended_input,1.0,0.417,0.583
1,functionality_introduction,1.0,0.25,0.75
1,gif_chat_message,0.0,0.25,-0.25
1,help_system,0.5,0.5,0.0
1,image_chat_message,1.0,0.667,0.333
1,information_stamp,0.0,0.333,-0.333
1,input_adjustment,1.0,0.333,0.667
1,interactive_canvas,1.0,0.167,0.833
1,message_action,1.0,0.833,0.167
1,message_completion,1.0,0.167,0.833
1,message_reaction,1.0,0.833,0.167
1,persistent_menu,1.0,0.833,0.167
1,processing_indicator,1.0,0.833,0.167
1,quick_reply,0.5,0.583,-0.083
1,quick_start_button,1.0,0.417,0.583
1,sticker_chat_message,0.5,0.25,0.25
1,system_information,1.0,0.75,0.25
1,text_chat_message,1.0,1.0,0.0
1,video_chat_message,1.0,0.167,0.833
1,voice_chat_message,1.0,0.833,0.167
1,web_preview_chat_message,1.0,0.25,0.75
2,accordion,0.5,0.417,0.083
2,avatar,1.0,0.833,0.167
2,call_on_menu,0.5,0.333,0.167
2,carousel_chat_message,0.0,0.25,-0.25
2,conversation_recovery,0.5,0.083,0.417
2,dialog_reload,0.0,0.083,-0.083
2,emoji_chat_message,1.0,0.75,0.25
2,extended_input,0.0,0.417,-0.417
2,functionality_introduction,0.5,0.25,0.25
2,gif_chat_message,1.0,0.25,0.75
2,help_system,0.0,0.5,-0.5
2,image_chat_message,1.0,0.667,0.333
2,information_stamp,1.0,0.333,0.667
2,input_adjustment,0.5,0.333,0.167
2,interactive_canvas,0.0,0.167,-0.167
2,message_action,1.0,0.833,0.167
2,message_completion,0.0,0.167,-0.167
2,message_reaction,1.0,0.833,0.167
2,persistent_menu,1.0,0.833,0.167
2,processing_indicator,0.5,0.833,-0.333
2,quick_reply,1.0,0.583,0.417
2,quick_start_button,1.0,0.417,0.583
2,sticker_chat_message,0.5,0.25,0.25
2,system_information,0.5,0.75,-0.25
2,text_chat_message,1.0,1.0,0.0
