Bot,Class,Screenshots
Ada,Text Chat Message,Ada_Chat_Message.png
Ada,Quick Reply,Ada_Quick_Reply.png
Ada,Call-on Menu,"Ada_call-on-menu-help.PNG, Ada_call-on-menu-help2.PNG"
Ada,Message Reaction,"Ada_Help_System1.png, Ada_Message_Reaction2.png"
Ada,Help System,"Ada_Help_System1.png, Ada_Help_System2.png"
Ada,System Information,"Ada_Disclaimer1.png, Ada_Disclaimer2.png, Ada_Disclaimer_popup.png"
Ada,Avatar,Ada_Chat_Message.png
ChatGPT,Accordion,ChatGPT_Accordion.png
ChatGPT,Carousel Chat Message,ChatGPT_Carousel_Chat_Message.png
ChatGPT,Emoji Chat Message,Chat_GPT_Sticker_Emoji.png
ChatGPT,Extended Input,ChatGPT_Additional_Input.png
ChatGPT,Functionality Introduction,"ChatGPT_Chat_Quickstart.png, ChatGPT_Functionality_Introduction.png"
ChatGPT,Help System,ChatGPT_Help_System.png
ChatGPT,Image Chat Message,ChatGPT_Image_Chat_Message.png
ChatGPT,Input Adjustment,ChatGPT_Additional_Input.png
ChatGPT,Interactive Canvas,ChatGPT_Interactive_Canvas.png
ChatGPT,Message Reaction,ChatGPT_Message_Reactions.png
ChatGPT,Message Action,Chat_GPT_Sticker_Emoji.png
ChatGPT,Persistent Menu,ChatGPT_Persistent_Menu.png
ChatGPT,Processing Indicator,"ChatGPT_Processing_Indicator.png, ChatGPT_Voice_Mode_Transcription.png"
ChatGPT,Quick Start Button,"ChatGPT_Chat_Quickstart.png, ChatGPT_Quickstart_Image_Generation.png"
ChatGPT,Message Completion,ChatGPT_Request_Completion.png
ChatGPT,Sticker Chat Message,Chat_GPT_Sticker_Emoji.png
ChatGPT,System Information,"ChatGPT_System_Information.png, ChatGPT_System_Message.png"
ChatGPT,Text Chat Message,ChatGPT_Chat_Message.png
ChatGPT,Voice Chat Messages,"ChatGPT_Voice_Mode.png, ChatGPT_Voice_to_Text.png, ChatGPT_Voice_Mode_Transcription.png"
ChatGPT,Video Chat Message,ChatGPT_Video_Chat_Message.png
ChatGPT,Web Preview Chat Message,ChatGPT_Webview.png
Talkpal,Text Chat Message,Talkpal_Chat_Message.png
Talkpal,Avatar,Talkpal_Chat_Message.png
Talkpal,Help System,"Talkpal_Help_System_Correction.png, Talkpal_Help_System_Correction_Chat.png"
Talkpal,Message Reaction,Talkpal_Message_Reactions.png
Talkpal,Message Action,Talkpal_Message_Reactions.png
Talkpal,Persistent Menu,Talkpal_Persistent_Menu.png
Talkpal,Processing Indicator,Talkpal_Processing_Indicator.png
Talkpal,Quick Reply,Talkpal_Quick_Reply.png
Talkpal,Voice Chat Message,Talkpal_Voice_Chat_Message.png
Wysa,Avatar,Wysa_Chat_Message_Emoji_Quick_Reply.png
Wysa,Accordion,Wysa_Chat_Message_Emoji_Quick_Reply.png
Wysa,Call-on Menu,Wysa_Help_Message_Feedback.png
Wysa,Carousel Chat Message,Wysa_Carousel_Chat_Message.png
Wysa,Emoji Chat Message,Wysa_Chat_Message_Emoji_Quick_Reply.png
Wysa,GIF Chat Message,Wysa_GIF.png
Wysa,Message Reaction,Wysa_Message_Reactions.png
Wysa,Processing Indicator,Wysa_Processing_Indicator.png
Wysa,Quick Reply,Wysa_Chat_Message_Emoji_Quick_Reply.png
Wysa,System Information,Wysa_Technical_Error.png
Wysa,Text Chat Message,Wysa_Chat_Message_Emoji_Quick_Reply.png
Wysa,Help System,Wysa_Help_Message_Feedback.png
characterAI,Avatar,characterai_Chat_Message.png
characterAI,Extended Input,"characterai_create_content.png, characterai_create_holiday_moment.png, characterai_create_holiday_moment_example.png"
characterAI,Image Chat Message,characterai_Image_Upload.png
characterAI,Message Reaction,characterai_Chat_Message.png
characterAI,Persistent Menu,characterai_Persistent_Menu.png
characterAI,Processing Indicator,characterai_Processing_Indicator.png
characterAI,Sticker Chat Message,characterai_Sticker.png
characterAI,System Information,characterai_System_Author.png
characterAI,Text Chat Message,characterai_Chat_Message.png
characterAI,Voice Chat Message,characterai_Voice_Call.png
characterAI,Message Action,characterai_Chat_Message.png
characterAI,Dialog Reload,characterai_Persistent_Menu.png
Deepseek,Text Chat Message,Deepseek_chat-message.PNG
Deepseek,Image Chat Message,"Deepseek_Image_Chat_Message1.png, Deepseek_Image_Chat_Message2.png"
Deepseek,Voice Chat Message,Deepseek_Voice_Chat_Message.png
Deepseek,Emoji Chat Message,Deepseek_Emoji_Chat_Message.png
